CMDLINE python pic_vector_optimized.py
MEM 1.968750 1772915752.8023
MEM 33.253906 1772915752.9029
MEM 50.589844 1772915753.0033
MEM 61.164062 1772915753.1043
MEM 70.734375 1772915753.2045
MEM 84.152344 1772915753.3051
MEM 90.878906 1772915753.4057
MEM 105.300781 1772915753.5061
MEM 115.191406 1772915753.6067
MEM 114.003906 1772915753.7069
MEM 122.210938 1772915753.8074
MEM 136.398438 1772915753.9078
MEM 122.867188 1772915754.0081
MEM 122.039062 1772915754.1084
MEM 117.070312 1772915754.2089
MEM 117.070312 1772915754.3092
MEM 111.031250 1772915754.4095
MEM 114.421875 1772915754.5100
MEM 124.968750 1772915754.6107
MEM 135.527344 1772915754.7114
MEM 147.121094 1772915754.8117
MEM 116.960938 1772915754.9124
MEM 117.679688 1772915755.0127
MEM 114.859375 1772915755.1133
MEM 191.785156 1772915755.2137
MEM 312.660156 1772915755.3142
MEM 327.136719 1772915755.4149
MEM 349.527344 1772915755.5153
MEM 353.707031 1772915755.6159
MEM 587.089844 1772915755.7165
MEM 368.507812 1772915755.8171
MEM 380.945312 1772915755.9213
MEM 378.085938 1772915756.0218
MEM 688.472656 1772915756.1222
MEM 398.238281 1772915756.2228
MEM 362.023438 1772915756.3234
MEM 585.546875 1772915756.4236
MEM 391.769531 1772915756.5241
MEM 323.796875 1772915756.6249
MEM 466.296875 1772915756.7250
MEM 395.078125 1772915756.8255
MEM 374.085938 1772915756.9260
MEM 401.726562 1772915757.0262
MEM 334.394531 1772915757.1268
MEM 330.371094 1772915757.2274
MEM 341.613281 1772915757.3280
MEM 552.355469 1772915757.4287
MEM 459.507812 1772915757.5293
MEM 382.281250 1772915757.6296
MEM 633.183594 1772915757.7300
MEM 371.664062 1772915757.8305
MEM 352.953125 1772915757.9311
MEM 570.902344 1772915758.0313
MEM 391.769531 1772915758.1316
MEM 321.808594 1772915758.2323
MEM 481.539062 1772915758.3328
MEM 392.867188 1772915758.4330
MEM 366.363281 1772915758.5334
MEM 402.937500 1772915758.6336
MEM 320.902344 1772915758.7343
MEM 391.769531 1772915758.8349
MEM 323.402344 1772915758.9354
MEM 695.472656 1772915759.0359
MEM 433.691406 1772915759.1366
MEM 377.011719 1772915759.2371
MEM 637.292969 1772915759.3375
MEM 386.656250 1772915759.4380
MEM 361.906250 1772915759.5382
MEM 600.160156 1772915759.6385
MEM 340.105469 1772915759.7388
MEM 347.167969 1772915759.8395
MEM 564.218750 1772915759.9397
MEM 391.769531 1772915760.0399
MEM 326.910156 1772915760.1404
MEM 510.156250 1772915760.2410
MEM 424.511719 1772915760.3413
MEM 391.769531 1772915760.4418
MEM 451.734375 1772915760.5424
MEM 383.746094 1772915760.6428
MEM 365.984375 1772915760.7432
MEM 404.285156 1772915760.8434
MEM 333.468750 1772915760.9439
MEM 317.246094 1772915761.0444
MEM 334.750000 1772915761.1446
MEM 616.117188 1772915761.2451
MEM 455.351562 1772915761.3455
MEM 386.230469 1772915761.4462
MEM 656.933594 1772915761.5464
MEM 407.742188 1772915761.6466
MEM 369.308594 1772915761.7473
MEM 612.722656 1772915761.8476
MEM 344.789062 1772915761.9481
MEM 346.859375 1772915762.0484
MEM 563.246094 1772915762.1486
MEM 391.773438 1772915762.2489
MEM 329.230469 1772915762.3493
MEM 516.792969 1772915762.4499
MEM 439.503906 1772915762.5505
MEM 385.707031 1772915762.6510
MEM 459.542969 1772915762.7513
MEM 391.050781 1772915762.8520
MEM 362.871094 1772915762.9524
MEM 400.402344 1772915763.0530
MEM 359.585938 1772915763.1536
MEM 391.773438 1772915763.2539
MEM 348.746094 1772915763.3543
MEM 407.242188 1772915763.4550
MEM 350.910156 1772915763.5553
MEM 318.257812 1772915763.6556
MEM 385.777344 1772915763.7562
MEM 617.718750 1772915763.8569
MEM 391.773438 1772915763.9573
MEM 376.632812 1772915764.0580
MEM 588.371094 1772915764.1584
MEM 374.164062 1772915764.2591
MEM 343.390625 1772915764.3597
MEM 482.960938 1772915764.4602
MEM 391.773438 1772915764.5607
MEM 352.449219 1772915764.6610
MEM 538.062500 1772915764.7613
MEM 390.316406 1772915764.8619
MEM 360.210938 1772915764.9622
MEM 573.765625 1772915765.0624
MEM 326.453125 1772915765.1630
MEM 359.484375 1772915765.2636
MEM 518.324219 1772915765.3642
MEM 453.882812 1772915765.4648
MEM 321.484375 1772915765.5654
MEM 424.882812 1772915765.6661
MEM 466.320312 1772915765.7667
MEM 348.308594 1772915765.8673
MEM 525.027344 1772915765.9678
MEM 320.339844 1772915766.0685
MEM 337.324219 1772915766.1689
MEM 539.015625 1772915766.2695
MEM 347.546875 1772915766.3700
MEM 372.503906 1772915766.4711
MEM 544.367188 1772915766.5716
MEM 367.281250 1772915766.6719
MEM 353.257812 1772915766.7721
MEM 557.507812 1772915766.8724
MEM 320.945312 1772915766.9727
MEM 362.281250 1772915767.0731
MEM 547.617188 1772915767.1736
MEM 439.855469 1772915767.2749
MEM 340.523438 1772915767.3755
MEM 510.585938 1772915767.4761
MEM 391.773438 1772915767.5765
MEM 358.960938 1772915767.6770
MEM 589.664062 1772915767.7776
MEM 324.894531 1772915767.8778
MEM 330.503906 1772915767.9785
MEM 516.738281 1772915768.0792
MEM 439.667969 1772915768.1799
MEM 391.773438 1772915768.2806
MEM 357.500000 1772915768.3811
MEM 686.179688 1772915768.4816
MEM 391.773438 1772915768.5818
MEM 360.871094 1772915768.6826
MEM 340.292969 1772915768.7832
MEM 353.625000 1772915768.8839
MEM 412.343750 1772915768.9847
MEM 386.472656 1772915769.0854
MEM 391.773438 1772915769.1860
MEM 317.765625 1772915769.2866
MEM 643.417969 1772915769.3871
MEM 383.621094 1772915769.4878
MEM 358.421875 1772915769.5883
MEM 549.246094 1772915769.6890
MEM 453.046875 1772915769.7894
MEM 391.773438 1772915769.8899
MEM 388.113281 1772915769.9904
MEM 335.468750 1772915770.0907
MEM 391.773438 1772915770.1910
MEM 369.753906 1772915770.2915
MEM 569.917969 1772915770.3921
MEM 445.980469 1772915770.4924
MEM 377.136719 1772915770.5930
MEM 602.855469 1772915770.6932
MEM 327.796875 1772915770.7938
MEM 386.300781 1772915770.8942
MEM 601.339844 1772915770.9948
MEM 429.996094 1772915771.0955
MEM 387.757812 1772915771.1959
MEM 553.203125 1772915771.2966
MEM 334.058594 1772915771.3972
MEM 345.929688 1772915771.4980
MEM 498.800781 1772915771.5986
MEM 406.437500 1772915771.6993
MEM 74.230469 1772915771.8003
